Name,Field
Mkt Cap,CUR_MKT_CAP
Price,PX_LAST
Beta,BETA_ADJ_OVERRIDABLE
Dbt / Ebitda,NET_DEBT_TO_EBITDA
Cash+St per Share,CASH_ST_INVESTMENTS_PER_SH
Dvd Yld,EQY_DVD_YLD_12M
Dvd Payout Ratio,T12M_DVD_PAYOUT_RATIO
FCF Yield,T12_FCF_YIELD
5Yr Dvd Gwth,GEO_GROW_DVD_PER_SH
1Yr Dvd Gwth,EQY_DPS_GROSS_1YR_GROWTH
T12m Buyback,T12M_NET_CAPITAL_STOCK
PE Ratio,PE_RATIO
Est PE Ratio NxtYr,BEST_PE_RATIO
Est Lt PEG,BEST_EST_LONG_TERM_GROWTH
5Yr Sales Gwth,GEO_GROW_SALES_PER_SH
1Yr Sales Gwth,SALES_PER_SHARE_GROWTH
Hist Call Imp Vol Avg,IVOL_CALL_3M_MOV_AVG_30D_HIST
Hist Put Imp Vol Avg,IVOL_PUT_3M_MOV_AVG_30D_HIST
