Name,Field,Period,Class,,,,
1Yr Dvd Gwth,EQY_DPS_GROSS_1YR_GROWTH,F,Value,,,,"1Yr Dvd Gwth,EQY_DPS_GROSS_1YR_GROWTH,F,Value"
1Yr Sales Gwth,SALES_PER_SHARE_GROWTH,F,Growth,,,,"1Yr Sales Gwth,SALES_PER_SHARE_GROWTH,F,Growth"
5Yr Dvd Gwth,GEO_GROW_DVD_PER_SH,F,Value,,,,"5Yr Dvd Gwth,GEO_GROW_DVD_PER_SH,F,Value"
5Yr Sales Gwth,GEO_GROW_SALES_PER_SH,F,Growth,,,,"5Yr Sales Gwth,GEO_GROW_SALES_PER_SH,F,Growth"
5Yr.Sales.Gwth,GEO_GROW_NET_SALES,F,Growth,,,,"5Yr.Sales.Gwth,GEO_GROW_NET_SALES,F,Growth"
Beta,BETA_ADJ_OVERRIDABLE,D,Size,,,,"Beta,BETA_ADJ_OVERRIDABLE,D,Size"
Cash+St per Share,CASH_ST_INVESTMENTS_PER_SH,F,Other,,,,"Cash+St per Share,CASH_ST_INVESTMENTS_PER_SH,F,Other"
Dbt / Ebitda,NET_DEBT_TO_EBITDA,F,Other,,,,"Dbt / Ebitda,NET_DEBT_TO_EBITDA,F,Other"
Dvd Payout Ratio,T12M_DVD_PAYOUT_RATIO,F,Value,,,,"Dvd Payout Ratio,T12M_DVD_PAYOUT_RATIO,F,Value"
Dvd Yld,EQY_DVD_YLD_12M,D,Value,,,,"Dvd Yld,EQY_DVD_YLD_12M,D,Value"
Dvd.Payout.Ratio,DVD_PAYOUT_RATIO,F,Value,,,,"Dvd.Payout.Ratio,DVD_PAYOUT_RATIO,F,Value"
Dvd.Yld,EQY_DVD_YLD_IND,D,Value,,,,"Dvd.Yld,EQY_DVD_YLD_IND,D,Value"
Est Lt PEG,BEST_EST_LONG_TERM_GROWTH,D,Growth,,,,"Est Lt PEG,BEST_EST_LONG_TERM_GROWTH,D,Growth"
Est PE Ratio,BEST_PE_RATIO,D,Value,,,,"Est PE Ratio,BEST_PE_RATIO,D,Value"
Est PE Ratio NxtYr,BEST_PE_NXT_YR,D,Value,,,,"Est PE Ratio NxtYr,BEST_PE_NXT_YR,D,Value"
FCF Yield,T12_FCF_YIELD,D,Value,,,,"FCF Yield,T12_FCF_YIELD,D,Value"
Mkt Cap,CUR_MKT_CAP,D,Size,,,,"Mkt Cap,CUR_MKT_CAP,D,Size"
PE Ratio,PE_RATIO,D,Value,,,,"PE Ratio,PE_RATIO,D,Value"
Price,PX_LAST,D,Tech,,,,"Price,PX_LAST,D,Tech"
RSI 30d,RSI_9D,D,Tech,,,,"RSI 30d,RSI_9D,D,Tech"
RSI 9d,RSI_30D,D,Tech,,,,"RSI 9d,RSI_30D,D,Tech"
T12m Buyback,T12M_NET_CAPITAL_STOCK,F,Value,,,,"T12m Buyback,T12M_NET_CAPITAL_STOCK,F,Value"
Vol 10d,VOLATILITY_10D,D,Tech,,,,"Vol 10d,VOLATILITY_10D,D,Tech"
Vol 30d,VOLATILITY_200D,D,Tech,,,,"Vol 30d,VOLATILITY_200D,D,Tech"
,,,,,,,
,,,,,,,
,,,,,,,
Book value ,BOOK_VAL_PER_SH,F,Value,Calc,Book/Last,,"Book value ,BOOK_VAL_PER_SH,F,Value"
Free cashFlow Yld,Trail_12m_free_Cash_flow_per_Sh,F,Value,Calc,Trail/Last,,"Free cashFlow Yld,Trail_12m_free_Cash_flow_per_Sh,F,Value"
Sales to Price,Trail_12m_Sales_Per_Sh,F,Value,Calc,Trail/Last,,"Sales to Price,Trail_12m_Sales_Per_Sh,F,Value"
Ebitda to Price,Trail_12m_Ebitda,F,Value,Calc,Trail/Last,,"Ebitda to Price,Trail_12m_Ebitda,F,Value"
ROE,Return_Com_Eqy,F,Growth,,,,"ROE,Return_Com_Eqy,F,Growth"
1Yr EPS Gwth,EPS_Growth,F,Growth,,,,"1Yr EPS Gwth,EPS_Growth,F,Growth"
Prof_Margin,NetIncome/NetSales,F,Growth,,,,"Prof_Margin,NetIncome/NetSales,F,Growth"
Debt/Equity,Tot_Debt_To_Tot_Eqy,F,Other,,,,"Debt/Equity,Tot_Debt_To_Tot_Eqy,F,Other"
