TFCFI1E LX
URW NA
XWTS GR
ABMD US
CPRT US
EVRG US
FLT US
TWTR US
UNH US
UNM US
ACX SM
ALD FP
AMUN FP
ANA SM
APAM NA
ASC LN
BMED IM
BMPS IM
BRE IM
BZU IM
CEC GR
CIE SM
CINE LN
COV FP
DLG IM
EDPR PL
EVD GR
FCC SM
FEVR LN
GEST SM
GVNV NA
HER IM
HOLMB SS
HTO GA
INW IM
JD/ LN
KAZ LN
MS IM
NTGY SM
OCI NA
PSG SM
RDSA LN
RKET GR
SFER IM
SSABA SS
SSE LN
TKA AV
TOP DC
VOW GR
WIZZ LN
ZOT SM
KDP US
COV FP
NTGY SM
EVRG US
OMU SJ
SDRL US
SIKA SW
1583731D DC
EVRG US
WYND US
ANET US
AAK SS
ABC LN
AMP IM
AXFO SS
CASH SM
EVT GR
GYC GR
HUFVA SS
LSG NO
RBREW DC
SALM NO
SHL GR
VER AV
BPY-U CN
CBOE UF
WCG US
